dataset,score,policy,spent,reference_spent,saving,coverage,shortfall,size_fraction,set_size,empty_rate,singleton_rate,delta_coverage,delta_shortfall,delta_size_fraction,support,spent_sd,campaign_violation,min_component_coverage,max_component_coverage
har,LAC,matched_b1,181.64930555555554,449.8958333333333,0.494215363967691,0.863848821444849,0.07233466978586171,0.17614015873434538,1.0568409524060725,0.07739920032311821,0.8271041536242344,-0.026459002764102582,0.022834526155556385,-0.0004156605942852405,1.0,0.0,0.7888541666666665,0.8638488214448489,0.8638488214448489
har,LAC,matched_b2,182.0,449.8958333333333,0.4926355028565799,0.8702197799388247,0.06857920809585781,0.18115675881210222,1.0869405528726135,0.07210788468025064,0.8186533910224011,-0.02008804427012666,0.019079064465552492,0.004600939483471559,1.0,0.0,0.76921875,0.8702197799388248,0.8702197799388248
har,LAC,matched_b4,182.33333333333334,449.8958333333333,0.49144120308806144,0.8835926126822228,0.05730199890969315,0.18303210141816736,1.0981926085090041,0.05600335338984482,0.833283895500719,-0.0067152115267287244,0.007801855279387843,0.0064762820895367,1.0,0.0,0.6155208333333334,0.8835926126822228,0.8835926126822228
har,LAC,matched_b8,181.35416666666666,449.8958333333333,0.49302612785657995,0.886725950859731,0.05493060380800165,0.1844630941643177,1.1067785649859063,0.05365780639189974,0.8295310427267838,-0.0035818733492203984,0.005430460177696344,0.007907274835687029,1.0,0.0,0.7180902777777778,0.886725950859731,0.886725950859731
har,LAC,random_planning,177.88541666666666,449.8958333333333,0.47530974500098494,0.8767226124608847,0.06198594030175314,0.1796998629843123,1.078199177905874,0.06234601459616893,0.8347744054297451,-0.013585211748066733,0.01248579667144783,0.003144043655681664,1.0,0.0,0.5576388888888889,0.8767226124608848,0.8767226124608848
har,LAC,restricted_b1,287.04588271411797,449.8958333333333,0.2743603786568591,0.8799607348874705,0.057925451041568064,0.17633762952035759,1.0580257771221457,0.054981975359052034,0.8595492902761676,-0.010347089321481024,0.008425307411262746,-0.00021818980827302393,2.3875,87.17363043321963,0.4255326105861381,0.8483458242001364,0.8891424281757954
har,LAC,restricted_b4,223.3699543830779,449.8958333333333,0.3982704911928224,0.8816962485251184,0.05731221551390345,0.17845155675774335,1.0707093405464603,0.05483107918538658,0.8513753485520527,-0.008611575683833075,0.007812071883598136,0.0018957374291127171,2.3444444444444446,50.604975032927996,0.4724573939915014,0.8672072769171116,0.8884440953485093
har,LAC,restricted_b8,226.0281628524336,449.8958333333333,0.38921675776725567,0.8879056470277895,0.05319309738725583,0.18216666165170023,1.0929999699102015,0.049649123120898274,0.8438259635374944,-0.0024021771811619922,0.0036929537569505336,0.005610842323069583,2.3249999999999997,59.53076387271324,0.5227419073532366,0.876915552610461,0.8957145487502776
har,LAC,sparse,183.86490460047204,449.8958333333333,0.4872118607751828,0.8818899872560652,0.057753394352394294,0.179790272023155,1.0787416321389303,0.055918038638796054,0.8433507422510177,-0.008417836952886249,0.008253250722088986,0.0032344526945243582,2.6916666666666664,41.98496592823648,0.6207635118511042,0.8572291378987115,0.8921308338628373
har,LAC,two_plan,208.6868503996989,449.8958333333333,0.43356419904950166,0.8839936480909626,0.05570001067507833,0.17887340901155946,1.073240454069357,0.052349899301513146,0.8518313453935233,-0.006314176117988876,0.006199867044773024,0.0023175896829288303,1.6159722222222221,45.48730487322251,0.5374158875120726,0.87754610297243,0.890539501152431
har,LAC,variance_save,298.29861111111114,449.8958333333333,0.273241264036643,0.8863856822073877,0.053139918622463735,0.17652368825998246,1.059142129559895,0.04637849988482923,0.870888493405395,-0.003922142001563776,0.003639774992158442,-3.213106864811286e-05,1.0,0.0,0.5348263888888889,0.8863856822073877,0.8863856822073877
mhealth,APS,deterministic,245.36458333333334,333.6458333333333,0.22345482248271534,0.8830205692975217,0.05099470563620304,0.3618698182061216,4.342437818473459,0.09024545045109561,0.12785004844713194,-0.002894822104877909,0.002630868636610761,0.0004967636881788927,1.0,0.0,0.4091666666666667,0.8830205692975216,0.8830205692975216
mhealth,APS,drop_coverage,148.14145576726818,333.6458333333333,0.5068449856473752,0.8722296953199385,0.061852798902885454,0.3594979860229672,4.313975832275606,0.09910399511511264,0.13098491474294574,-0.013685696082460994,0.013488961903293156,-0.0018750684949755284,2.7715277777777785,38.2409192388746,0.6922656445152776,0.8405550813370359,0.886404176828102
mhealth,APS,drop_shortfall,159.01162493297124,333.6458333333333,0.47489381611934833,0.8754423533047372,0.05907738810387914,0.36145225993765245,4.3374271192518306,0.09667611710130197,0.12944366745749206,-0.01047303809766229,0.010713551104286846,7.92054197098232e-05,2.8305555555555557,44.98566119504002,0.6605794381835285,0.8434453033600677,0.8895305402276471
mhealth,APS,drop_size,113.3465717335521,333.6458333333333,0.5989446788684061,0.8722991365353142,0.06393882154153535,0.36640334098829824,4.39684009185958,0.10008504584385847,0.1268452134735659,-0.013616254867085197,0.015574984541943055,0.005030286470355577,2.022222222222222,21.79217685644673,0.7762090714296978,0.8520037536333263,0.8839420451237209
mhealth,APS,fixed_25,91.85416666666667,333.6458333333333,0.6906437324973451,0.8428301827428556,0.0889573404539664,0.3409744541489748,4.091693449787699,0.1247510429507792,0.13896212696625063,-0.04308520865954396,0.040593503454374076,-0.02039860036896783,1.0,0.0,0.8284895833333333,0.8428301827428556,0.8428301827428556
mhealth,APS,fixed_50,169.54166666666666,333.6458333333333,0.4748109614409482,0.8689010441169565,0.06504043461480573,0.35464069506621626,4.255688340794595,0.1022186063269271,0.13111807037291875,-0.017014347285443102,0.01667659761521342,-0.0067323594517264065,1.0,0.0,0.7417013888888889,0.8689010441169565,0.8689010441169565
mhealth,APS,fixed_75,251.04166666666666,333.6458333333333,0.24052431011883604,0.879054188399071,0.05563996103550093,0.3582833518570303,4.299400222284364,0.09344394319645725,0.12839509676800234,-0.006861203003328498,0.00727612403590864,-0.003089702660912404,1.0,0.0,0.5868229166666666,0.879054188399071,0.879054188399071
mhealth,APS,full_b1,311.25,333.6458333333333,0.04282357786956021,0.8746863428887971,0.056763902858677384,0.3482093215554842,4.178511858665811,0.09739736221472778,0.13800499458038964,-0.011229048513602442,0.008400065859085098,-0.013163732962458485,1.0,0.0,0.6176736111111111,0.874686342888797,0.874686342888797
mhealth,APS,full_b2,323.82978723404256,338.1914893617021,0.027454162267610622,0.8894316879451892,0.04551172233609424,0.3649692456150613,4.379630947380735,0.0847925287303501,0.1285688003183318,0.001107141330170371,-0.0006892185334974489,0.00195330475162509,1.0,0.0,0.5568262411347518,0.889431687945189,0.889431687945189
mhealth,APS,full_b4,342.9347826086957,342.9347826086957,0.0,0.8899718693476251,0.044665285016214494,0.3638878635940399,4.366654363128479,0.08440232414497917,0.12578075504250805,0.0,0.0,0.0,1.0,0.0,0.0,0.889971869347625,0.889971869347625
mhealth,APS,full_b8,376.9318181818182,353.0681818181818,-0.04468568993728295,0.8912276066437297,0.0423228595141747,0.36531385015636336,4.3837662018763615,0.08354886939803445,0.12652169482349254,-0.00021178617714514027,-0.0009394001059394504,0.000825044406541341,1.0,0.0,0.5485606060606061,0.8912276066437297,0.8912276066437297
mhealth,APS,full_reference,333.6458333333333,333.6458333333333,0.0,0.8859153914023995,0.048363836999592284,0.3613730545179427,4.336476654215312,0.08789069131318494,0.1271793438379773,0.0,0.0,0.0,1.0,0.0,0.0,0.8859153914023995,0.8859153914023995
mhealth,APS,kappa0,104.72287235964238,333.6458333333333,0.6324375898781716,0.8622801975042247,0.07220378992949066,0.35727526701666096,4.287303204199932,0.10815269630223512,0.1317712010028953,-0.02363519389817484,0.02383995292989835,-0.0040977875012817135,2.5131944444444443,25.11242008447985,0.7843889932810252,0.8259515807759111,0.8804392602721806
mhealth,APS,kappa05,133.43023682837773,333.6458333333333,0.5511386491632297,0.8700570688083347,0.06407627832031203,0.35952370695132885,4.314284483415947,0.10108113064771702,0.13119058954624618,-0.01585832259406485,0.015712441320719726,-0.001849347566613783,2.7638888888888893,34.90759299976053,0.7344697065175051,0.837032754706279,0.8860304603758208
mhealth,APS,kappa2,219.4749113109017,333.6458333333333,0.308079484991182,0.8785793170504523,0.05534835992041018,0.3596044422001466,4.315253306401758,0.09397742079237631,0.12891804388793493,-0.007336074351947261,0.006984522920817872,-0.0017686123177961073,2.970833333333333,67.18069718994558,0.4552885772459924,0.8475941659393054,0.8906546086843768
mhealth,APS,matched_b1,166.18958333333333,333.6458333333333,0.4598514899576765,0.8629422399027579,0.06933421177191211,0.34749549146664527,4.169945897599743,0.10723252852876597,0.13916749487869598,-0.02297315149964163,0.020970374772319805,-0.013877563051297432,1.0,0.0,0.8122048611111111,0.8629422399027579,0.8629422399027579
mhealth,APS,matched_b2,166.26944444444442,333.6458333333333,0.4595223637157737,0.8760601153569141,0.05994489167861735,0.3653821856891876,4.384586228270251,0.0955080654525749,0.12921787034634,-0.009855276045485556,0.011581054679025052,0.004009131171244902,1.0,0.0,0.8048611111111111,0.8760601153569137,0.8760601153569137
mhealth,APS,matched_b4,166.33402777777778,333.6458333333333,0.458881598356691,0.8780080229936121,0.05781695152409916,0.36505438359811454,4.380652603177375,0.09452411740596944,0.12604360992820463,-0.007907368408787346,0.009453114524506851,0.003681329080171849,1.0,0.0,0.71078125,0.8780080229936121,0.8780080229936121
mhealth,APS,matched_b8,165.58541666666667,333.6458333333333,0.4598363350700139,0.8801649100362963,0.05507934793106989,0.3677075369834295,4.412490443801155,0.09315625836248997,0.1258242334327768,-0.005750481366103327,0.006715510931477602,0.006334482465486852,1.0,0.0,0.769982638888889,0.8801649100362962,0.8801649100362962
mhealth,APS,random_planning,165.19444444444443,333.6458333333333,0.4437315680988106,0.8721918761304724,0.06228475760714101,0.35898806690232116,4.307856802827854,0.09895325954130664,0.12849577204606175,-0.013723515271927174,0.013920920607548697,-0.0023849876156215523,1.0,0.0,0.6038194444444445,0.8721918761304722,0.8721918761304722
mhealth,APS,restricted_b1,233.98764964562739,333.6458333333333,0.24827240841813766,0.8760264122541527,0.05707775450003696,0.3548505615265826,4.258206738318991,0.09646981175593589,0.131526504130812,-0.009888979148246912,0.008713917500444646,-0.006522492991360081,2.441666666666667,67.27802035890853,0.39798824530712346,0.8312307526108363,0.8886348413701534
mhealth,APS,restricted_b4,208.21209781078406,333.6458333333333,0.34445599688320966,0.8769349950205392,0.05763293199508015,0.3610704579034782,4.332845494841738,0.09544568585145176,0.12736556992699263,-0.008980396381860335,0.009269094995487842,-0.0003025966144645171,2.6680555555555556,66.89290547584262,0.5046587490752975,0.8529827878094425,0.8863531647765264
mhealth,APS,restricted_b8,218.21773819122362,333.6458333333333,0.3029486380598797,0.8804303472455365,0.054182729081538074,0.36358893861049885,4.363067263325987,0.09246284931335137,0.12774406459309237,-0.005485044156863098,0.0058188920819457765,0.0022158840925561355,2.5,62.671035600360504,0.4518792037890429,0.8689446954270363,0.8910850729439161
mhealth,APS,sparse,167.47947017937193,333.6458333333333,0.4548378168690032,0.8759862548562665,0.05837037575723033,0.36092652611487425,4.331118313378491,0.09609110926672665,0.1296820309860881,-0.009929136546133078,0.010006538757638024,-0.00044652840306843997,2.9000000000000004,47.452042766627216,0.6436613893681461,0.84450315694298,0.8902078910678557
mhealth,APS,two_plan,200.77397159531165,333.6458333333333,0.36128049091394737,0.8790472607053367,0.055034033795642444,0.3603649653522997,4.3243795842275965,0.09352300481502616,0.1293510192175886,-0.006868130697062896,0.00667019679605015,-0.0010080891656430106,1.7590277777777779,58.930797179148385,0.4992362693501899,0.869946641303093,0.8865958184586642
mhealth,APS,variance_save,183.92708333333334,333.6458333333333,0.40016118565405695,0.8805941336340138,0.05391166578123218,0.3621393011481266,4.345671613777519,0.09223210713826731,0.12701015098091417,-0.005321257768385711,0.005547828781639878,0.0007662466301838535,1.0,0.0,0.6776562500000001,0.8805941336340138,0.8805941336340138
mhealth,LAC,deterministic,242.1736111111111,333.6458333333333,0.23660229231643384,0.8784607761890411,0.05128292464982818,0.13432237461260638,1.611868495351277,0.02319462438534516,0.690859804386843,-0.004334669194127457,0.004940585537589459,0.002684611783825569,1.0,0.0,0.3715104166666667,0.8784607761890411,0.8784607761890411
mhealth,LAC,drop_coverage,158.91624746116136,333.6458333333333,0.4702046308477641,0.870982617016363,0.060209380169642,0.139190165087792,1.6702819810535043,0.03426715287231045,0.6752820383402643,-0.01181282836680547,0.013867041057403278,0.007552402259011174,2.6750000000000003,35.34234675409667,0.5796468047867536,0.8379624367011157,0.8857535382637026
mhealth,LAC,drop_shortfall,170.65039184928463,333.6458333333333,0.43870177059869403,0.8724478355466241,0.05827626460766049,0.13884009244662768,1.6660811093595325,0.03206970933694806,0.6761921518612501,-0.010347609836544426,0.011933925495421762,0.007202329617846864,2.7291666666666665,39.17255929201189,0.5543160040445992,0.8435771136764182,0.8870218872836112
mhealth,LAC,drop_size,125.04665676624468,333.6458333333333,0.564392757569816,0.8762696032282294,0.05741495600585116,0.1509716382500233,1.81165965900028,0.031807677659384886,0.6515931079725154,-0.006525842154939108,0.011072616893612433,0.019333875421242465,2.048611111111111,26.993089648948814,0.6603966430331436,0.8539906205943771,0.8876936398051806
mhealth,LAC,fixed_25,91.85416666666667,333.6458333333333,0.6906437324973451,0.841511046734316,0.08754566819846633,0.13711673176713016,1.6454007812055627,0.06885896715925595,0.6603225730593038,-0.041284398648852735,0.041203329086227605,0.00547896893834936,1.0,0.0,0.7436284722222223,0.8415110467343158,0.8415110467343158
mhealth,LAC,fixed_50,169.54166666666666,333.6458333333333,0.4748109614409482,0.8678992225621182,0.06243372439726964,0.1375095722389277,1.650114866867133,0.037957575029392523,0.6776411780458839,-0.014896222821050355,0.016091385285030912,0.0058718094101468865,1.0,0.0,0.6203645833333333,0.8678992225621182,0.8678992225621182
mhealth,LAC,fixed_75,251.04166666666666,333.6458333333333,0.24052431011883604,0.8777612147793926,0.05245618309556907,0.13418103776528276,1.6101724531833934,0.025120888037963775,0.6922519272573608,-0.005034230603775951,0.006113843983330346,0.0025432749365019293,1.0,0.0,0.42446180555555557,0.8777612147793926,0.8777612147793926
