dataset,score,control,metric,mean,lower,upper,subjects
har,LAC,restricted_b4,shortfall,0.0004411788384908481,-0.0008555974614744785,0.0016999301923336426,30
har,LAC,restricted_b4,size_fraction,0.0013387152654116405,0.0005393992702208604,0.002095636497245499,30
har,LAC,restricted_b8,saving,0.09799510300792719,0.09397697525426123,0.10211278282582875,30
har,LAC,restricted_b8,coverage,-0.006015659771724294,-0.007234829948375365,-0.004796143590591247,30
har,LAC,restricted_b8,shortfall,0.004560296965138463,0.003465433866450881,0.0057042559491461324,30
har,LAC,restricted_b8,size_fraction,-0.002376389628545239,-0.0030870140301629797,-0.0017168200389511758,30
har,LAC,fixed_50,saving,0.012992187311825866,0.004165294993183852,0.021228786340416143,30
har,LAC,fixed_50,coverage,0.009152988033860927,0.007157080459537289,0.011125008203899575,30
har,LAC,fixed_50,shortfall,-0.00785989411536334,-0.00947580631375756,-0.006275528028084364,30
har,LAC,fixed_50,size_fraction,0.0030366987743569653,0.0021867096702536722,0.003907199464817007,30
har,LAC,variance_save,saving,0.21397059673853977,0.20152956803286412,0.22614013483896908,30
har,LAC,variance_save,coverage,-0.004495694951322515,-0.0065201549341291415,-0.002413737464964852,30
har,LAC,variance_save,shortfall,0.004613475729930557,0.002839138569472648,0.006442071208630573,30
har,LAC,variance_save,size_fraction,0.0032665837631724805,0.002196852800800742,0.004405924828561709,30
har,LAC,matched_b4,saving,-0.004229342312878611,-0.004321881081042672,-0.004138396701510183,30
har,LAC,matched_b4,coverage,-0.0017026254261575558,-0.0035249969327672127,8.12462696349483e-05,30
har,LAC,matched_b4,shortfall,0.0004513954427011456,-0.0008813905902516981,0.0018781034408738976,30
har,LAC,matched_b4,size_fraction,-0.0032418293950123504,-0.004214889539472612,-0.002257966198269875,30
har,LAC,matched_b8,saving,-0.005814267081397128,-0.006104696510604501,-0.005516754852215234,30
har,LAC,matched_b8,coverage,-0.004835963603665894,-0.006137335112219635,-0.0035731191724478802,30
har,LAC,matched_b8,shortfall,0.0028227905443926494,0.001839639018568251,0.0038966171130458186,30
har,LAC,matched_b8,size_fraction,-0.004672822141162683,-0.005843896638007388,-0.0035394071173172025,30
mhealth,APS,full_reference,saving,0.4548378168690032,0.4382200238553066,0.47233836802892115,10
