dataset,score,policy,tolerance,coverage,set_size,shortfall,delta_coverage,delta_size,delta_shortfall,queried,saving
mhealth,APS,uncorrected,0.5,0.9110264259055538,4.561307905076901,0.027228227722010705,0.00923099486499837,0.16615629844763333,-0.005515840163890799,222.95833333333334,0.26437499999999997
mhealth,LAC,fixed_25,0.5,0.8917131521427073,1.5616382804091586,0.03637415563966047,0.0010539119380629446,0.10256583084867853,0.0022476813222014826,82.5,0.7500000000000004
mhealth,LAC,fixed_50,0.5,0.8894195600361668,1.4760304254706031,0.0362150448697321,-0.001239680168477541,0.016957975910122877,0.00208857055227311,165.0,0.5000000000000002
mhealth,LAC,fixed_75,0.5,0.8905851814074555,1.466626070338554,0.03466788171066049,-7.405879718899338e-05,0.007553620778074074,0.0005414073932015183,247.5,0.2500000000000001
mhealth,LAC,full_reference,0.5,0.8906592402046445,1.45907244956048,0.03412647431745898,0.0,0.0,0.0,330.0,0.0
mhealth,LAC,horizon,0.1,0.8961128683569375,1.4797490862703127,0.03070217681446932,0.005453628152293074,0.02067663670983253,-0.003424297502989643,292.7291666666667,0.09593749999999997
mhealth,LAC,horizon,0.25,0.9082007849877528,1.547257448772986,0.024065087661106356,0.017541544783108445,0.08818499921250576,-0.01006138665635261,226.2,0.2780034722222222
mhealth,LAC,horizon,0.5,0.9231385791932407,1.6650413810573723,0.015424430255984263,0.03247933898859627,0.20596893149689233,-0.018702044061474698,165.575,0.4516840277777778
mhealth,LAC,horizon,1.0,0.9402290796219089,1.898824644501809,0.008900292317679097,0.04956983941726444,0.43975219494132894,-0.02522618199977987,114.2875,0.6039583333333333
mhealth,LAC,hypergeom,0.1,0.8962121336942219,1.4794235304674006,0.030612755661854542,0.005552893489577508,0.02035108090692059,-0.0035137186556044196,304.1333333333333,0.06670138888888885
mhealth,LAC,hypergeom,0.25,0.9090845987241701,1.5501404919016781,0.023536351871093455,0.018425358519525648,0.09106804234119784,-0.010590122446365506,247.0,0.21963541666666667
mhealth,LAC,hypergeom,0.5,0.9245151117978151,1.6736126115004921,0.014575437568092257,0.033855871593170654,0.21454016194001196,-0.01955103674936671,188.27916666666667,0.38253472222222223
mhealth,LAC,hypergeom,1.0,0.9423727217947352,1.9193951980839914,0.007924848036377049,0.051713481590090725,0.46032274852351146,-0.02620162628108192,135.24583333333334,0.5323784722222223
mhealth,LAC,martingale,0.1,0.8956885929998808,1.4767608575722235,0.03102298941941768,0.005029352795236427,0.017688408011743303,-0.003103484898041288,313.7125,0.038732638888888865
