dataset,score,policy,tolerance,coverage,set_size,shortfall,delta_coverage,delta_size,delta_shortfall,queried,saving
dsads,APS,martingale,0.1,0.8864142452485381,7.384409379568713,0.03128677814327483,1.142178362573103e-06,2.9011330409356248e-05,0.0,269.9895833333333,2.8935185185183333e-05
dsads,APS,martingale,0.25,0.886558045504386,7.3890211531432755,0.031226128472222198,0.00014494243421051459,0.004640784904970744,-6.064967105262428e-05,269.4114583333333,0.001714409722222204
dsads,APS,martingale,0.5,0.8880549844663742,7.432208401864035,0.030301763523391794,0.0016418813961987992,0.047828033625730966,-0.0009850146198830188,265.921875,0.012167245370370334
dsads,APS,martingale,1.0,0.8955563550804094,7.65887449744152,0.025558982090643254,0.009143252010233874,0.27449412920321636,-0.005727796052631549,251.66666666666666,0.056445312499999976
dsads,APS,midpoint,0.5,0.886553591008772,7.390593361659357,0.031216648391812846,0.000140487938596485,0.006212993421052628,-7.012975146198477e-05,255.72916666666666,0.04607204861111106
dsads,APS,no_intersection,0.5,0.889030519005848,7.458797743055555,0.02954518457602337,0.0026174159356724762,0.07441737481725143,-0.0017415935672514392,260.0260416666667,0.03127893518518516
dsads,APS,one_look_50,0.5,0.9318820815058478,9.2776953125,0.01087273848684208,0.045468978435672464,1.8933149442616959,-0.020414039656432723,135.0,0.5000000000000002
dsads,APS,sparse_checks,0.5,0.8874351242690058,7.415093544407895,0.03071351882309939,0.0010220211988303848,0.030713176169590625,-0.0005732593201754238,263.0677083333333,0.021195023148148126
dsads,APS,uncorrected,0.5,0.8900720714546783,7.491374040570175,0.02894359923245612,0.00365896838450289,0.1069936723318713,-0.002343178910818692,238.21875,0.09903790509259254
dsads,LAC,fixed_25,0.5,0.8891112710160819,5.3766204084429825,0.04098581414473682,0.0021829312865496954,0.36153977065058474,0.0007289382309941429,67.5,0.7500000000000004
dsads,LAC,fixed_50,0.5,0.8876853755482457,5.135949607090644,0.04043448464912278,0.0007570358187134436,0.1208689692982456,0.00017760873538010872,135.0,0.5000000000000002
dsads,LAC,fixed_75,0.5,0.887066771747076,5.059197505482456,0.040421235380116945,0.0001384320175438449,0.04411686769005846,0.00016435946637426886,202.5,0.2500000000000001
dsads,LAC,full_reference,0.5,0.8869283397295322,5.015080637792398,0.04025687591374267,0.0,0.0,0.0,270.0,0.0
dsads,LAC,horizon,0.1,0.8869140624999999,5.014198076571637,0.040263843201754364,-1.4277229532164252e-05,-0.0008825612207602348,6.967288011697005e-06,269.25,0.0025752314814814522
dsads,LAC,horizon,0.25,0.887683319627193,5.024675963998538,0.03958047788742688,0.0007549798976608079,0.009595326206140333,-0.0006763980263157818,266.734375,0.010604745370370332
dsads,LAC,horizon,0.5,0.8905429915935673,5.08807006122076,0.03745465551900583,0.0036146518640350588,0.07298942342836254,-0.0028022203947368255,257.1666666666667,0.041919849537037
dsads,LAC,horizon,1.0,0.8974080546418128,5.299798748172515,0.0329440789473684,0.010479714912280657,0.2847181103801169,-0.00731279696637424,231.75520833333334,0.12736545138888883
dsads,LAC,hypergeom,0.1,0.8869171463815789,5.015122213084795,0.040265670687134485,-1.1193347953214897e-05,4.157529239765886e-05,8.794773391812275e-06,269.7604166666667,0.0008101851851851729
dsads,LAC,hypergeom,0.25,0.8875074241593568,5.022213655884503,0.03973718475877191,0.0005790844298245488,0.0071330180921052415,-0.0005196911549707508,268.5416666666667,0.004673032407407377
dsads,LAC,hypergeom,0.5,0.8904339135599416,5.079795435855263,0.03746150858918127,0.0035055738304093256,0.06471479806286547,-0.002795367324561386,261.6041666666667,0.027068865740740706
dsads,LAC,hypergeom,1.0,0.8974321546052632,5.289547012061404,0.03287680464181285,0.010503814875730945,0.27446637426900583,-0.007380071271929794,241.86458333333334,0.09301938657407403
dsads,LAC,martingale,0.1,0.8869335937499999,5.015586394371345,0.04025162189327484,5.254020467835417e-06,0.0005057565789473678,-5.254020467835417e-06,269.984375,6.510416666666667e-05
dsads,LAC,martingale,0.25,0.8872489491959065,5.018731953581871,0.039952828033625716,0.0003206094663742591,0.0036513157894736766,-0.0003040478801169505,269.5416666666667,0.0013454861111110948
dsads,LAC,martingale,0.5,0.889382995248538,5.055962970577485,0.03821820175438594,0.0024546555190058258,0.04088233278508769,-0.0020386741593567074,266.3125,0.010995370370370348
