dataset,model,score,policy,tolerance,coverage,set_size,shortfall,delta_coverage,delta_size,delta_shortfall,queried,saving
pamap2,LR,LAC,horizon,0.5,0.8844645557977834,3.0887309502311187,0.05408430840137073,0.01545274820538161,0.17119009954773315,-0.009426079324912138,205.175,0.2190364583333333
pamap2,LR,LAC,horizon,1.0,0.8976106133365696,3.3560174925703103,0.04795206172097918,0.02859880574416778,0.4384766418869248,-0.015558326005303692,158.61875,0.3819357638888889
pamap2,LR,LAC,hypergeom,0.1,0.8696321077404201,2.920414556215286,0.0629821316913744,0.0006203001480182586,0.0028737055319001375,-0.0005282560349084916,268.125,0.006085069444444403
pamap2,LR,LAC,hypergeom,0.25,0.875622471045989,2.9691242081321727,0.058783296362112956,0.006610663453587259,0.05158335744878689,-0.004727091364169924,251.94375,0.058854166666666624
pamap2,LR,LAC,hypergeom,0.5,0.8850040322404638,3.0909780421936945,0.053701272230137174,0.015992224648061982,0.17343719151030867,-0.009809115496145706,219.96875,0.16598090277777774
pamap2,LR,LAC,hypergeom,1.0,0.8990840391623758,3.368439388480695,0.046995198590269634,0.030072231569973996,0.4508985377973088,-0.01651518913601324,176.2875,0.3156423611111111
pamap2,LR,LAC,martingale,0.1,0.8692703158609015,2.919009297210303,0.06328687819941181,0.0002585082684997404,0.0014684465269173112,-0.00022350952687108543,269.4375,0.0016493055555555313
pamap2,LR,LAC,martingale,0.25,0.8743741125675343,2.957936645755178,0.059550544659783586,0.005362304975132482,0.040395795071792105,-0.0039598430664992985,261.30625,0.026449652777777746
pamap2,LR,LAC,martingale,0.5,0.8841293400164725,3.0745024664846095,0.05423971442359772,0.015117532424070688,0.15696161580122348,-0.009270673302685153,239.13125,0.09690104166666662
pamap2,LR,LAC,martingale,1.0,0.8993450972182333,3.367954089599721,0.04698507885968905,0.03033328962583155,0.45041323891633506,-0.016525308866593827,202.025,0.22053819444444445
pamap2,LR,LAC,midpoint,0.5,0.8678865815954016,2.9127842668361077,0.06463353612560896,-0.0011252259970002047,-0.004756583847277869,0.0011231483993260547,205.175,0.2190364583333333
pamap2,LR,LAC,no_intersection,0.5,0.8843270218325044,3.08591207777853,0.05409094156473629,0.015315214240102636,0.16837122709514396,-0.009419446161546588,211.18125,0.19822916666666662
pamap2,LR,LAC,one_look_50,0.5,0.9041075099135537,3.9540643758993763,0.046007287564489525,0.035095702321151875,1.0365235252159906,-0.017503100161793347,135.0,0.5000000000000002
pamap2,LR,LAC,sparse_checks,0.5,0.8799364174641158,3.0225155455043193,0.056363104456323074,0.010924609871714045,0.10497469482093358,-0.007147283269959798,220.9875,0.16521701388888888
pamap2,LR,LAC,uncorrected,0.5,0.8833346598639955,3.088784386271509,0.05485389427799667,0.01432285227159373,0.17124353558812302,-0.008656493448286217,177.58124999999998,0.30319444444444443
pamap2,MR,APS,fixed_25,0.5,0.8906067163226844,5.62249570415973,0.03269442384546137,0.0005056299227068507,0.12230173890008417,0.0031812225474885255,67.5,0.7500000000000004
pamap2,MR,APS,fixed_50,0.5,0.8901851876937538,5.546368972877468,0.03085414530538791,8.410129377620231e-05,0.046175007617820944,0.0013409440074150618,135.0,0.5000000000000002
pamap2,MR,APS,fixed_75,0.5,0.8903671308283313,5.52236977492311,0.029856516707125334,0.0002660444283538252,0.02217580966346326,0.00034331540915249386,202.5,0.2500000000000001
pamap2,MR,APS,full_reference,0.5,0.8901010863999775,5.500193965259646,0.02951320129797283,0.0,0.0,0.0,270.0,0.0
pamap2,MR,APS,horizon,0.1,0.8900781922371062,5.500236891444025,0.029558791660534777,-2.2894162871396042e-05,4.2926184379170056e-05,4.559036256194307e-05,269.15625,0.003142361111111071
pamap2,MR,APS,horizon,0.25,0.8913042792828061,5.519395579392803,0.028781329091184117,0.001203192882828542,0.019201614133157147,-0.0007318722067886994,265.10625,0.016180555555555517
pamap2,MR,APS,horizon,0.5,0.8963900032059859,5.616826033442338,0.025958621909952153,0.006288916806008341,0.11663206818269177,-0.0035545793880206542,249.2,0.06755208333333329
pamap2,MR,APS,horizon,1.0,0.9088915797593046,5.896798393552077,0.01978435371032707,0.018790493359327032,0.3966044282924303,-0.009728847587645738,205.21875,0.21839409722222217
pamap2,MR,APS,hypergeom,0.1,0.8901014190659772,5.500724815456842,0.02951392644842163,3.3266599962686306e-07,0.0005308501971965432,7.251504487955719e-07,269.81875,0.00062499999999998
pamap2,MR,APS,hypergeom,0.25,0.8909601488651614,5.51304638278212,0.028950422439631012,0.0008590624651837963,0.012852417522473713,-0.0005627788583418039,267.79375,0.0072222222222221855
pamap2,MR,APS,hypergeom,0.5,0.8962910373384959,5.611312095124658,0.02597733391521455,0.006189950938518367,0.11111812986501148,-0.0035358673827582546,256.1,0.04472222222222219
