dataset,score,policy,tolerance,bracket_failure,containment_failure,inflation_exceeded,actual_inflation,saving
realdisp,APS,martingale,0.25,0.0005000000000000001,0.00025000000000000006,0.00025000000000000006,0.0056865003652588,0.0014583333333333308
realdisp,APS,martingale,0.5,0.0010833333333333333,0.0004166666666666667,0.0004166666666666667,0.07328807319550029,0.012104166666666652
realdisp,APS,martingale,1.0,0.00125,0.0004166666666666667,0.0005000000000000001,0.2964011432531431,0.05489120370370368
realdisp,APS,midpoint,0.5,0.18383333333333332,0.16658333333333333,0.005583333333333333,0.014739995665225129,0.04130787037037034
realdisp,APS,no_intersection,0.5,0.0011666666666666668,0.0010000000000000002,0.0001666666666666667,0.09998660806580989,0.0280497685185185
realdisp,APS,one_look_50,0.5,0.028416666666666666,0.014166666666666666,0.8560833333333333,1.9757115662725517,0.5
realdisp,APS,sparse_checks,0.5,0.015083333333333334,0.007916666666666667,0.004083333333333334,0.015539497969980004,0.013087962962962963
realdisp,APS,uncorrected,0.5,0.14791666666666667,0.07166666666666667,0.051833333333333335,0.11979820866686566,0.10650115740740738
realdisp,LAC,fixed_25,0.5,0.9555833333333333,0.43149999999999994,0.21291666666666667,0.3105093869855332,0.75
realdisp,LAC,fixed_50,0.5,0.9175,0.42791666666666667,0.10783333333333334,0.08845444846862635,0.5
realdisp,LAC,fixed_75,0.5,0.86275,0.3973333333333333,0.0505,0.03138655333066355,0.25
realdisp,LAC,full_reference,0.5,0.0,0.0,0.0,0.0,0.0
realdisp,LAC,horizon,0.1,0.027416666666666666,0.016666666666666666,0.00825,0.008010460178593273,0.014344907407407395
realdisp,LAC,horizon,0.25,0.036166666666666666,0.021750000000000002,0.008083333333333335,0.053849249697128794,0.06999305555555554
realdisp,LAC,horizon,0.5,0.03816666666666667,0.020833333333333332,0.008583333333333333,0.1643151127227492,0.18562268518518518
realdisp,LAC,horizon,1.0,0.033666666666666664,0.016083333333333335,0.007583333333333333,0.4226508658613066,0.36144560185185187
realdisp,LAC,hypergeom,0.1,0.004916666666666667,0.0032500000000000003,0.0010833333333333333,0.006408103361317794,0.006368055555555547
realdisp,LAC,hypergeom,0.25,0.007666666666666668,0.0045000000000000005,0.0011666666666666668,0.05335464633357202,0.04549305555555554
realdisp,LAC,hypergeom,0.5,0.01,0.005166666666666667,0.00175,0.1673037841769087,0.1377395833333333
realdisp,LAC,hypergeom,1.0,0.008833333333333334,0.0035,0.0015,0.43507137895427356,0.29193402777777777
realdisp,LAC,martingale,0.1,0.0008333333333333334,0.0004166666666666667,0.0001666666666666667,0.0035267016843347114,0.002332175925925922
realdisp,LAC,martingale,0.25,0.0016666666666666668,0.0006666666666666668,0.0005833333333333334,0.04434322988172906,0.024718749999999984
realdisp,LAC,martingale,0.5,0.0015,0.0005833333333333334,0.0003333333333333334,0.14964020194084338,0.08819675925925924
realdisp,LAC,martingale,1.0,0.0015,0.0004166666666666667,0.0004166666666666667,0.41585116750656964,0.21765393518518517
realdisp,LAC,midpoint,0.5,0.37525000000000003,0.35791666666666666,0.0027500000000000003,-0.011444723792982852,0.18562268518518518
realdisp,LAC,no_intersection,0.5,0.01,0.008833333333333334,0.00025000000000000006,0.16109813322860525,0.16336805555555556
realdisp,LAC,one_look_50,0.5,0.030500000000000003,0.0175,0.61675,1.6451158216480004,0.5
realdisp,LAC,sparse_checks,0.5,0.02875,0.017333333333333333,0.0035,0.07040353716873662,0.1311099537037037
realdisp,LAC,uncorrected,0.5,0.12791666666666668,0.06091666666666666,0.035250000000000004,0.1674702875649906,0.2833738425925926
uschad,APS,fixed_25,0.5,0.9529166666666667,0.41845238095238096,0.1701785714285714,0.07409057331619513,0.75
uschad,APS,fixed_50,0.5,0.9186904761904763,0.4136309523809524,0.07589285714285714,0.02579094887852724,0.5
uschad,APS,fixed_75,0.5,0.8551785714285715,0.38922619047619045,0.02982142857142857,0.010530270828400965,0.25
uschad,APS,full_reference,0.5,0.0,0.0,0.0,0.0,0.0
uschad,APS,horizon,0.1,0.027916666666666666,0.016964285714285713,0.008452380952380953,0.008335500320562713,0.025381944444444436
uschad,APS,horizon,0.25,0.035595238095238096,0.021130952380952382,0.008273809523809524,0.05332916571097647,0.08915674603174602
uschad,APS,horizon,0.5,0.037738095238095244,0.02119047619047619,0.007976190476190477,0.16231524913016637,0.20572420634920632
uschad,APS,horizon,1.0,0.03255952380952381,0.017083333333333332,0.005535714285714286,0.40076336680670527,0.3942757936507936
uschad,APS,hypergeom,0.1,0.006428571428571429,0.0036309523809523814,0.0025,0.007518055777224892,0.015188492063492057
uschad,APS,hypergeom,0.25,0.009642857142857142,0.005773809523809525,0.002142857142857143,0.051415574463211454,0.06317460317460315
uschad,APS,hypergeom,0.5,0.010416666666666666,0.005952380952380952,0.0019047619047619048,0.16478881558601274,0.1578571428571428
uschad,APS,hypergeom,1.0,0.009226190476190476,0.004464285714285714,0.0016666666666666668,0.4194645333584584,0.3260962301587301
uschad,APS,martingale,0.1,0.00029761904761904765,0.00011904761904761905,0.0001785714285714286,0.0059048394150098705,0.007991071428571422
uschad,APS,martingale,0.25,0.0009523809523809524,0.0004166666666666667,0.0003571428571428572,0.04396827995115071,0.038253968253968235
uschad,APS,martingale,0.5,0.0014285714285714288,0.0006547619047619048,0.0001785714285714286,0.15179368305588692,0.10652777777777776
uschad,APS,martingale,1.0,0.0015476190476190477,0.0007142857142857144,0.0004761904761904762,0.41236848249653213,0.2505853174603174
uschad,APS,midpoint,0.5,0.3911904761904762,0.3746428571428571,0.0018452380952380953,-0.009763446389181857,0.20572420634920632
uschad,APS,no_intersection,0.5,0.006428571428571429,0.004702380952380953,0.0004761904761904762,0.1621757217170008,0.1826140873015873
uschad,APS,one_look_50,0.5,0.028630952380952382,0.01744047619047619,0.504345238095238,0.706865376707224,0.5
uschad,APS,sparse_checks,0.5,0.026428571428571426,0.014404761904761906,0.004880952380952382,0.061513931281261584,0.14066964285714284
uschad,APS,uncorrected,0.5,0.12107142857142858,0.06119047619047619,0.03023809523809524,0.162739016297037,0.2984970238095238
uschad,LAC,fixed_25,0.5,0.9554761904761905,0.4225595238095238,0.15029761904761904,0.1219717298674971,0.75
uschad,LAC,fixed_50,0.5,0.9166666666666666,0.41422619047619047,0.060892857142857144,0.04155266476672584,0.5
uschad,LAC,fixed_75,0.5,0.8589285714285714,0.3983333333333334,0.022023809523809525,0.010153706830948944,0.25
uschad,LAC,full_reference,0.5,0.0,0.0,0.0,0.0,0.0
