dataset,score,baseline,metric,difference,ci_low,ci_high,subjects
uschad,LAC,fixed_50,queried,74.56904761904762,68.35991071428573,81.34473214285713,14
uschad,LAC,fixed_50,saving,-0.2633134920634923,-0.28154377480158754,-0.24659182787698433,14
uschad,LAC,fixed_75,coverage,0.014454769400100844,0.010836904556343908,0.018013448244110178,14
uschad,LAC,fixed_75,set_size,0.16877027157420926,0.15760261587648808,0.17984271152244152,14
uschad,LAC,fixed_75,shortfall,-0.008195304847993681,-0.012269890292730564,-0.0042758468019534574,14
uschad,LAC,fixed_75,delta_coverage,0.014454769400100796,0.010836904556343762,0.018013448244110115,14
uschad,LAC,fixed_75,delta_size,0.16877027157420924,0.1576026158764882,0.17984271152244144,14
uschad,LAC,fixed_75,delta_shortfall,-0.00819530484799365,-0.012269890292730526,-0.004275846801953434,14
uschad,LAC,fixed_75,queried,-7.930952380952377,-14.140089285714279,-1.1552678571428592,14
uschad,LAC,fixed_75,saving,-0.013313492063492182,-0.03154377480158744,0.0034081721230157557,14
uschad,LAC,one_look_50,coverage,-0.020272989472927678,-0.02665906962548654,-0.013999655077679814,14
uschad,LAC,one_look_50,set_size,-0.5862826032504369,-0.6966607329196698,-0.49256805055319947,14
uschad,LAC,one_look_50,shortfall,0.009133925290953403,0.004391601180422334,0.01430411190639266,14
uschad,LAC,one_look_50,delta_coverage,-0.0202729894729276,-0.026659069625486486,-0.013999655077679737,14
uschad,LAC,one_look_50,delta_size,-0.5862826032504369,-0.6966607329196697,-0.4925680505531994,14
uschad,LAC,one_look_50,delta_shortfall,0.009133925290953407,0.004391601180422339,0.014304111906392667,14
uschad,LAC,one_look_50,queried,74.56904761904762,68.35991071428573,81.34473214285713,14
uschad,LAC,one_look_50,saving,-0.2633134920634923,-0.28154377480158754,-0.24659182787698433,14
uschad,LAC,uncorrected,coverage,0.0007218691274127649,0.000494843613577859,0.0009728154055589073,14
uschad,LAC,uncorrected,set_size,0.003800082264765533,0.0018133820062688163,0.0058034906613326715,14
uschad,LAC,uncorrected,shortfall,-0.00047389966289522906,-0.0007316106142537308,-0.00023789208985519988,14
uschad,LAC,uncorrected,delta_coverage,0.0007218691274127366,0.0004948436135778071,0.0009728154055588964,14
uschad,LAC,uncorrected,delta_size,0.0038000822647655747,0.0018133820062688078,0.005803490661332659,14
uschad,LAC,uncorrected,delta_shortfall,-0.00047389966289522863,-0.0007316106142537331,-0.00023789208985519882,14
uschad,LAC,uncorrected,queried,42.42738095238095,41.41488095238096,43.428005952380964,14
uschad,LAC,uncorrected,saving,-0.10037698412698413,-0.1029439484126984,-0.09778267609126987,14
uschad,LAC,no_intersection,coverage,2.2972255463176478e-05,-4.08582001757783e-05,9.720700994841425e-05,14
uschad,LAC,no_intersection,set_size,0.001677493203412864,0.0007158355813427505,0.0026391499490284274,14
uschad,LAC,no_intersection,shortfall,-2.430599809117326e-05,-6.854431473083247e-05,1.6256014943398615e-05,14
uschad,LAC,no_intersection,delta_coverage,2.2972255463187198e-05,-4.085820017576388e-05,9.720700994843161e-05,14
uschad,LAC,no_intersection,delta_size,0.0016774932034128542,0.0007158355813428556,0.0026391499490283988,14
uschad,LAC,no_intersection,delta_shortfall,-2.4305998091170566e-05,-6.854431473083048e-05,1.625601494340083e-05,14
uschad,LAC,no_intersection,queried,-9.379761904761912,-9.844062500000025,-8.971413690476199,14
uschad,LAC,no_intersection,saving,0.02570436507936507,0.024672619047619034,0.026818018353174575,14
uschad,LAC,sparse_checks,coverage,0.00727642581266721,0.005398781470365022,0.009149303608157846,14
uschad,LAC,sparse_checks,set_size,0.10062422536227496,0.0929247101407772,0.10853362075891755,14
uschad,LAC,sparse_checks,shortfall,-0.004033759623149157,-0.006101519346596025,-0.002064517003719582,14
uschad,LAC,sparse_checks,delta_coverage,0.007276425812667219,0.005398781470365001,0.009149303608157843,14
uschad,LAC,sparse_checks,delta_size,0.10062422536227503,0.0929247101407772,0.10853362075891773,14
uschad,LAC,sparse_checks,delta_shortfall,-0.004033759623149147,-0.006101519346596012,-0.0020645170037195733,14
uschad,LAC,sparse_checks,queried,-25.042857142857144,-26.421458333333323,-23.745238095238104,14
uschad,LAC,sparse_checks,saving,0.0682986111111111,0.06550099206349205,0.07141871279761904,14
uschad,LAC,midpoint,coverage,0.017627691798016265,0.013353633386903941,0.0217492279930968,14
uschad,LAC,midpoint,set_size,0.20696458676701984,0.19565153780827246,0.21730478821847365,14
uschad,LAC,midpoint,shortfall,-0.01008423718017271,-0.01484311816381209,-0.005478896377368734,14
uschad,LAC,midpoint,delta_coverage,0.017627691798016203,0.013353633386903823,0.02174922799309673,14
uschad,LAC,midpoint,delta_size,0.20696458676701973,0.19565153780827235,0.21730478821847357,14
uschad,LAC,midpoint,delta_shortfall,-0.01008423718017267,-0.014843118163812036,-0.005478896377368704,14
uschad,LAC,midpoint,queried,0.0,0.0,0.0,14
uschad,LAC,midpoint,saving,0.0,0.0,0.0,14
uschad,APS,hypergeom,coverage,-0.0005555081666761473,-0.0008024659701708548,-0.0003263754718176412,14
uschad,APS,hypergeom,set_size,-0.0024950376614679853,-0.004003121768564907,-0.0007159206934061046,14
uschad,APS,hypergeom,shortfall,0.0003280876735571177,0.0001290943618022394,0.0005648963226857214,14
uschad,APS,hypergeom,delta_coverage,-0.0005555081666762115,-0.0008024659701709309,-0.00032637547181769115,14
uschad,APS,hypergeom,delta_size,-0.002495037661468088,-0.004003121768565021,-0.0007159206934061785,14
uschad,APS,hypergeom,delta_shortfall,0.00032808767355711917,0.00012909436180224057,0.0005648963226857222,14
uschad,APS,hypergeom,queried,-17.66666666666666,-18.667857142857127,-16.654761904761894,14
uschad,APS,hypergeom,saving,0.04786706349206349,0.045255394345238086,0.05047867063492062,14
uschad,APS,martingale,coverage,0.00048450741363763116,0.00023753644328322967,0.0007517065783433294,14
uschad,APS,martingale,set_size,0.010655455639299862,0.008397626475856146,0.012764007691931395,14
uschad,APS,martingale,shortfall,-0.00026613427936559295,-0.0005713743261651744,5.54074077108083e-05,14
uschad,APS,martingale,delta_coverage,0.0004845074136375693,0.00023753644328313814,0.0007517065783432581,14
uschad,APS,martingale,delta_size,0.010655455639299953,0.008397626475856266,0.012764007691931565,14
uschad,APS,martingale,delta_shortfall,-0.00026613427936558704,-0.0005713743261651688,5.5407407710817825e-05,14
uschad,APS,martingale,queried,-35.295238095238105,-36.85537202380953,-33.74107142857143,14
uschad,APS,martingale,saving,0.09919642857142859,0.09472216021825398,0.10355921378968254,14
uschad,APS,full_reference,coverage,0.01309746504066593,0.00980448640193948,0.01647567754877986,14
uschad,APS,full_reference,set_size,0.16301208706680362,0.15653227084826588,0.16924005219887647,14
uschad,APS,full_reference,shortfall,-0.007023436356154976,-0.01001852884852094,-0.004263346716951998,14
uschad,APS,full_reference,delta_coverage,0.013097465040665853,0.00980448640193938,0.01647567754877979,14
uschad,APS,full_reference,delta_size,0.1630120870668034,0.1565322708482656,0.169240052198876,14
uschad,APS,full_reference,delta_shortfall,-0.007023436356154951,-0.010018528848520907,-0.004263346716951976,14
uschad,APS,full_reference,queried,-78.75119047619047,-82.00735119047619,-75.51068452380953,14
uschad,APS,full_reference,saving,0.20572420634920635,0.19658475942460307,0.21481646825396822,14
uschad,APS,fixed_25,coverage,0.011731976122676005,0.008830235403087567,0.014603504621969127,14
uschad,APS,fixed_25,set_size,0.08794680187575812,0.06898321507340321,0.10614573404593686,14
uschad,APS,fixed_25,shortfall,-0.008030175720869696,-0.01082810986117726,-0.005379250341777983,14
uschad,APS,fixed_25,delta_coverage,0.011731976122675904,0.008830235403087486,0.014603504621969084,14
uschad,APS,fixed_25,delta_size,0.08794680187575807,0.06898321507340359,0.10614573404593682,14
uschad,APS,fixed_25,delta_shortfall,-0.008030175720869667,-0.010828109861177224,-0.005379250341777959,14
uschad,APS,fixed_25,queried,168.74880952380954,165.49264880952384,171.98931547619046,14
uschad,APS,fixed_25,saving,-0.544275793650794,-0.5534152405753971,-0.5351835317460323,14
uschad,APS,fixed_50,coverage,0.012463206364419752,0.009446011860816686,0.015553840112607022,14
uschad,APS,fixed_50,set_size,0.13688922782714677,0.1266703009006688,0.14689180432186913,14
uschad,APS,fixed_50,shortfall,-0.00732762212107905,-0.010223602739347535,-0.004634176849702039,14
uschad,APS,fixed_50,delta_coverage,0.012463206364419664,0.009446011860816587,0.015553840112606873,14
uschad,APS,fixed_50,delta_size,0.1368892278271468,0.12667030090066897,0.14689180432186888,14
uschad,APS,fixed_50,delta_shortfall,-0.007327622121079026,-0.010223602739347503,-0.004634176849702014,14
uschad,APS,fixed_50,queried,86.24880952380953,82.99264880952381,89.48931547619047,14
uschad,APS,fixed_50,saving,-0.29427579365079387,-0.3034152405753971,-0.285183531746032,14
uschad,APS,fixed_75,coverage,0.012745442828413183,0.009604052088750283,0.015996324003484916,14
uschad,APS,fixed_75,set_size,0.1523470649979731,0.1453691338014938,0.15964972058311255,14
uschad,APS,fixed_75,shortfall,-0.007063054671068616,-0.010042823835203296,-0.004341624168885851,14
uschad,APS,fixed_75,delta_coverage,0.012745442828413101,0.009604052088750169,0.015996324003484875,14
uschad,APS,fixed_75,delta_size,0.15234706499797301,0.1453691338014939,0.1596497205831122,14
uschad,APS,fixed_75,delta_shortfall,-0.0070630546710685905,-0.010042823835203269,-0.004341624168885831,14
uschad,APS,fixed_75,queried,3.748809523809527,0.4926488095238101,6.989315476190478,14
uschad,APS,fixed_75,saving,-0.04427579365079378,-0.053415240575396955,-0.0351835317460319,14
uschad,APS,one_look_50,coverage,-0.02069604120717713,-0.023543602473546785,-0.01799742561965932,14
uschad,APS,one_look_50,set_size,-0.5481642474546241,-0.603260163348515,-0.4977082332925245,14
uschad,APS,one_look_50,shortfall,0.009185529102677505,0.006652672063031611,0.011803920806365742,14
uschad,APS,one_look_50,delta_coverage,-0.020696041207177125,-0.02354360247354676,-0.017997425619659328,14
uschad,APS,one_look_50,delta_size,-0.5481642474546243,-0.6032601633485151,-0.4977082332925247,14
uschad,APS,one_look_50,delta_shortfall,0.009185529102677507,0.006652672063031614,0.011803920806365747,14
uschad,APS,one_look_50,queried,86.24880952380953,82.99264880952381,89.48931547619047,14
uschad,APS,one_look_50,saving,-0.29427579365079387,-0.3034152405753971,-0.285183531746032,14
uschad,APS,uncorrected,coverage,0.0003596012103795105,0.0001607377949374017,0.0005780895161508582,14
uschad,APS,uncorrected,set_size,-0.0005183616415898358,-0.0028562338174977506,0.0017123506772145087,14
uschad,APS,uncorrected,shortfall,-0.0001964880743428963,-0.00035236148397935777,-6.382494271877001e-05,14
uschad,APS,uncorrected,delta_coverage,0.00035960121037946675,0.00016073779493733847,0.0005780895161507971,14
uschad,APS,uncorrected,delta_size,-0.0005183616415900895,-0.002856233817498268,0.0017123506772143097,14
uschad,APS,uncorrected,delta_shortfall,-0.00019648807434289285,-0.00035236148397935235,-6.382494271876651e-05,14
uschad,APS,uncorrected,queried,39.260714285714286,37.89403273809525,40.60188988095237,14
uschad,APS,uncorrected,saving,-0.09277281746031749,-0.09589043898809528,-0.08957087053571434,14
uschad,APS,no_intersection,coverage,-0.0001731765399398915,-0.00029718908072911334,-6.916678429255997e-05,14
uschad,APS,no_intersection,set_size,0.00015431724567762015,-0.0009811506650081665,0.0013800208303158753,14
uschad,APS,no_intersection,shortfall,0.00011396763232921758,2.5902536988403258e-05,0.00021675734157695852,14
uschad,APS,no_intersection,delta_coverage,-0.00017317653993995276,-0.0002971890807291589,-6.916678429259713e-05,14
uschad,APS,no_intersection,delta_size,0.00015431724567775695,-0.0009811506650082309,0.0013800208303160883,14
uschad,APS,no_intersection,delta_shortfall,0.0001139676323292178,2.5902536988405413e-05,0.00021675734157695795,14
uschad,APS,no_intersection,queried,-8.330952380952372,-8.663095238095227,-8.013080357142846,14
uschad,APS,no_intersection,saving,0.02311011904761904,0.022234623015873,0.024030257936507936,14
uschad,APS,sparse_checks,coverage,0.006916731889105814,0.0054036446580769506,0.008449381721320745,14
uschad,APS,sparse_checks,set_size,0.10126908327438043,0.0962433236065321,0.10622548956067335,14
uschad,APS,sparse_checks,shortfall,-0.0037806183265602874,-0.005189366718506678,-0.0024336837905406888,14
uschad,APS,sparse_checks,delta_coverage,0.006916731889105784,0.00540364465807695,0.008449381721320696,14
uschad,APS,sparse_checks,delta_size,0.10126908327438033,0.0962433236065319,0.10622548956067314,14
uschad,APS,sparse_checks,delta_shortfall,-0.0037806183265602783,-0.005189366718506675,-0.0024336837905406814,14
uschad,APS,sparse_checks,queried,-24.379761904761903,-25.821428571428566,-22.718392857142856,14
uschad,APS,sparse_checks,saving,0.06505456349206347,0.06087543402777775,0.06868557787698411,14
uschad,APS,midpoint,coverage,0.014263857678223144,0.010638915248928377,0.018021170276504034,14
uschad,APS,midpoint,set_size,0.17258999165864478,0.16558163752127647,0.17957200891674893,14
uschad,APS,midpoint,shortfall,-0.007717963211318499,-0.011099853789716488,-0.004590839768748317,14
uschad,APS,midpoint,delta_coverage,0.014263857678223026,0.010638915248928274,0.018021170276503937,14
uschad,APS,midpoint,delta_size,0.17258999165864472,0.16558163752127644,0.17957200891674893,14
uschad,APS,midpoint,delta_shortfall,-0.007717963211318469,-0.01109985378971645,-0.004590839768748292,14
uschad,APS,midpoint,queried,0.0,0.0,0.0,14
uschad,APS,midpoint,saving,0.0,0.0,0.0,14
wisdm,LAC,hypergeom,coverage,2.6178596601926697e-05,-1.950730843040189e-06,5.348938413613094e-05,51
wisdm,LAC,hypergeom,set_size,0.0021981306854166067,0.0016177859582925788,0.0027498820426466097,51
