subject,score,N,policy,coverage,set_size,delta_coverage,delta_size,queried,saving
2,LAC,240,CS_beta_9_1,0.8966958333333335,1.9909083333333333,0.0101819444444444,0.1460930555555555,194.56666666666666,0.18930555555555553
2,LAC,240,CS_uniform,0.8967125,1.9939541666666665,0.01019861111111108,0.14913888888888885,203.16666666666666,0.1534722222222222
2,LAC,240,HG,0.8972,1.9944388888888889,0.01068611111111106,0.14962361111111108,185.36666666666667,0.2276388888888889
2,LAC,240,JRC,0.8969277777777779,1.9911027777777777,0.010413888888888855,0.14628749999999996,173.93333333333334,0.2752777777777778
2,LAC,240,fixed_25,0.891288888888889,1.9476541666666667,0.004775000000000011,0.10283888888888888,60.0,0.7500000000000004
2,LAC,240,fixed_50,0.8882972222222223,1.8782833333333333,0.0017833333333333347,0.033468055555555536,120.0,0.5000000000000002
2,LAC,240,fixed_75,0.8874666666666666,1.8626402777777777,0.0009527777777777689,0.01782499999999997,180.0,0.2500000000000001
2,LAC,240,full_reference,0.8865138888888889,1.8448152777777775,0.0,0.0,240.0,0.0
3,APS,120,CS_beta_9_1,0.9031291666666668,3.435597222222222,0.012813888888888835,0.11753888888888885,100.26666666666667,0.1644444444444444
3,APS,120,CS_uniform,0.9017527777777778,3.4222791666666668,0.011437499999999946,0.10422083333333329,104.96666666666667,0.12527777777777774
3,APS,120,HG,0.9038750000000001,3.4426944444444443,0.013559722222222187,0.12463611111111109,95.33333333333333,0.20555555555555557
3,APS,120,JRC,0.9030055555555556,3.4370361111111114,0.012690277777777733,0.11897777777777777,87.83333333333333,0.2680555555555556
3,APS,120,fixed_25,0.8952069444444445,3.4032069444444444,0.004891666666666667,0.08514861111111109,30.0,0.7500000000000004
3,APS,120,fixed_50,0.8914291666666667,3.3364208333333334,0.0011138888888888932,0.0183625,60.0,0.5000000000000002
3,APS,120,fixed_75,0.8896569444444444,3.315541666666667,-0.00065833333333332,-0.002516666666666653,90.0,0.2500000000000001
3,APS,120,full_reference,0.8903152777777777,3.3180583333333336,0.0,0.0,120.0,0.0
3,APS,240,CS_beta_9_1,0.9065680555555555,3.477798611111111,0.01832222222222218,0.17872777777777774,173.4,0.27749999999999997
3,APS,240,CS_uniform,0.90655,3.4789319444444446,0.018304166666666614,0.1798611111111111,183.96666666666667,0.23347222222222225
3,APS,240,HG,0.9065666666666667,3.4813055555555557,0.01832083333333328,0.1822347222222222,163.73333333333332,0.31777777777777777
3,APS,240,JRC,0.9058,3.4729027777777777,0.017554166666666617,0.1738319444444444,149.43333333333334,0.37736111111111115
3,APS,240,fixed_25,0.8952194444444446,3.380052777777778,0.006973611111111085,0.08098194444444443,60.0,0.7500000000000004
3,APS,240,fixed_50,0.890725,3.3246097222222217,0.002479166666666658,0.025538888888888892,120.0,0.5000000000000002
3,APS,240,fixed_75,0.8888152777777779,3.3007430555555555,0.0005694444444444331,0.001672222222222234,180.0,0.2500000000000001
3,APS,240,full_reference,0.8882458333333333,3.2990708333333334,0.0,0.0,240.0,0.0
3,LAC,120,CS_beta_9_1,0.7705055555555556,1.9421958333333333,0.03319722222222218,0.1339041666666666,102.9,0.14249999999999993
3,LAC,120,CS_uniform,0.7671722222222221,1.9245125,0.029863888888888836,0.11622083333333327,107.36666666666666,0.1052777777777777
3,LAC,120,HG,0.7737555555555555,1.961976388888889,0.036447222222222166,0.15368472222222218,97.8,0.185
3,LAC,120,JRC,0.771338888888889,1.9540694444444446,0.03403055555555552,0.1457777777777777,89.53333333333333,0.25388888888888894
3,LAC,120,fixed_25,0.7565472222222223,2.006584722222222,0.019238888888888847,0.19829305555555551,30.0,0.7500000000000004
3,LAC,120,fixed_50,0.7472430555555556,1.9090583333333333,0.009934722222222199,0.10076666666666664,60.0,0.5000000000000002
3,LAC,120,fixed_75,0.7408902777777778,1.8351027777777777,0.0035819444444444358,0.026811111111111088,90.0,0.2500000000000001
3,LAC,120,full_reference,0.7373083333333333,1.8082916666666666,0.0,0.0,120.0,0.0
3,LAC,240,CS_beta_9_1,0.7750652777777778,1.9620736111111112,0.04364166666666661,0.20294027777777773,175.5,0.26875000000000004
3,LAC,240,CS_uniform,0.7756611111111111,1.9616138888888888,0.044237499999999944,0.20248055555555552,187.3,0.21958333333333335
3,LAC,240,HG,0.7751194444444445,1.9615347222222221,0.04369583333333328,0.20240138888888884,168.46666666666667,0.29805555555555563
3,LAC,240,JRC,0.7727722222222223,1.9542458333333337,0.041348611111111065,0.19511249999999997,155.83333333333334,0.3506944444444445
3,LAC,240,fixed_25,0.7516027777777778,1.9474027777777778,0.020179166666666616,0.1882694444444444,60.0,0.7500000000000004
3,LAC,240,fixed_50,0.7373666666666666,1.8071027777777777,0.005943055555555533,0.04796944444444441,120.0,0.5000000000000002
3,LAC,240,fixed_75,0.7334041666666667,1.771825,0.001980555555555551,0.01269166666666666,180.0,0.2500000000000001
3,LAC,240,full_reference,0.7314236111111112,1.7591333333333334,0.0,0.0,240.0,0.0
4,APS,120,CS_beta_9_1,0.9323305555555556,2.9271180555555554,0.011568055555555519,0.1302916666666666,104.56666666666666,0.12861111111111106
4,APS,120,CS_uniform,0.9302236111111112,2.899248611111111,0.009461111111111075,0.10242222222222218,108.93333333333334,0.09222222222222218
4,APS,120,HG,0.9328708333333334,2.9450277777777774,0.0121083333333333,0.14820138888888887,99.66666666666667,0.1694444444444444
4,APS,120,JRC,0.932775,2.9442263888888887,0.012012499999999954,0.14739999999999995,92.03333333333333,0.23305555555555552
