model,score,N,policy,coverage,set_size,delta_coverage,delta_size,queried,saving
IT,APS,240,full_reference,0.924424074074074,3.96907037037037,0.0,0.0,240.0,0.0
IT,LAC,120,CS_beta_9_1,0.8867814814814816,2.080560185185185,0.02083148148148145,0.07932777777777772,108.43333333333334,0.09638888888888886
IT,LAC,120,CS_uniform,0.8853939814814815,2.0658921296296295,0.019443981481481448,0.06465972222222217,111.83333333333333,0.06805555555555554
IT,LAC,120,HG,0.8888273148148148,2.0989782407407405,0.022877314814814784,0.09774583333333328,104.73333333333333,0.1272222222222222
IT,LAC,120,JRC,0.8886240740740742,2.098590740740741,0.02267407407407404,0.09735833333333328,97.96666666666667,0.18361111111111109
IT,LAC,120,fixed_25,0.8684189814814816,2.1961453703703704,0.002468981481481478,0.19491296296296295,30.0,0.7500000000000004
IT,LAC,120,fixed_50,0.8675736111111112,2.0929416666666665,0.0016236111111111147,0.09170925925925923,60.0,0.5000000000000002
IT,LAC,120,fixed_75,0.8664861111111112,2.0337888888888886,0.0005361111111111208,0.03255648148148149,90.0,0.2500000000000001
IT,LAC,120,full_reference,0.8659500000000002,2.0012324074074073,0.0,0.0,120.0,0.0
IT,LAC,240,CS_beta_9_1,0.8928240740740743,2.0809060185185184,0.03078472222222219,0.1685106481481481,195.13333333333333,0.18694444444444447
IT,LAC,240,CS_uniform,0.893213888888889,2.075553240740741,0.031174537037037,0.16315787037037033,204.43333333333334,0.14819444444444443
IT,LAC,240,HG,0.8930180555555557,2.0842726851851854,0.030978703703703665,0.17187731481481477,188.03333333333333,0.21652777777777782
IT,LAC,240,JRC,0.8905625000000001,2.081402314814815,0.028523148148148117,0.1690069444444444,177.63333333333333,0.2598611111111111
IT,LAC,240,fixed_25,0.8669754629629631,2.077689351851852,0.004936111111111108,0.16529398148148144,60.0,0.7500000000000004
IT,LAC,240,fixed_50,0.8638958333333334,1.9577958333333332,0.0018564814814814778,0.04540046296296294,120.0,0.5000000000000002
